"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","hh_wealth","RelPub","RelPri","GodIneq","community"
"359","W2Z","GT5","F","MESTIZO",39.4166666666667,31.8194033861865,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",5,"DISAGREE","AGREE","AGREE","AGREE",0,12,0,3,10703,2,2,2,"highland"
"360","W7X","DUE","F","MESTIZO",40.8333333333333,25,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",5,"DONTKNOW","AGREE","DISAGREE","DISAGREE",5,129,0,2,14700,2,1,2,"highland"
"361","WBQ","DD2","M","MESTIZO",19.9166666666667,25.4028160836116,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","YES",10,"DONTKNOW","DONTKNOW","DISAGREE","DISAGREE",9,112,0,0,12244,2,2,1,"highland"
"362","XU5","Z9F","F","MESTIZO",31.0833333333333,26.5625,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",13,"DISAGREE","AGREE","DISAGREE","AGREE",10,112,0,NA,17330,2,1,2,"highland"
"363","XW7","B8Y","M","MESTIZO",48.75,24.6221837490898,"UNKNOWN","CATHOLIC","NEVER","AFEWTIMESPERMONTH","NO",15,"DISAGREE","AGREE","AGREE","AGREE",5,0,2,3,21050,2,2,2,"highland"
"364","XXZ","F35","M","MESTIZO",44.9166666666667,29.2421086364365,"UNKNOWN","CATHOLIC","ONCEPERWEEK","EVERYDAY","NO",1,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,139,0,1,26780,1,1,2,"highland"
"365","XY6","WEZ","F","MESTIZO",54.1666666666667,27.0551508844953,"UNKNOWN","CATHOLIC","ONCEPERWEEK","EVERYDAY","NO",11,"DISAGREE","AGREE","DISAGREE","AGREE",8,139,0,3,19000,1,1,2,"highland"
"366","YC6","N7W","F","MESTIZO",65.8333333333333,24.5484437637944,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",5,"AGREE","DISAGREE","AGREE","DISAGREE",10,15,0,0,3900,2,1,2,"highland"
"367","YDK","D9N","F","MESTIZO",62.25,31.3894114485353,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","NEVER","YES",4,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",9,119,0,8,11810,2,2,1,"highland"
"368","YK2","D5R","M","MESTIZO",41.5833333333333,21.7192501143118,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",7,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",10,89,0,NA,10630,2,2,2,"highland"
"369","YMD","U60","M","MESTIZO",53.4166666666667,23.1472551213302,"UNKNOWN","CATHOLIC","NEVER","EVERYDAY","NO",16,"DONTKNOW","AGREE","AGREE","AGREE",10,3,0,3,13700,2,1,2,"highland"
"370","YUT","XQR","F","MESTIZO",58.4166666666667,23.8054016620499,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",2,"AGREE","DISAGREE","DONTKNOW","DONTKNOW",8,139,3,0,3800,2,1,2,"highland"
"371","ZBB","V8B","F","MESTIZO",64.8333333333333,29.8461758311303,"UNKNOWN","CATHOLIC","ONCEPERWEEK","EVERYDAY","NO",5,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",5,3,0,3,6637.1,1,1,2,"highland"
"372","ZGZ","J0W","F","MESTIZO",48,24.1415192507804,"UNKNOWN","CATHOLIC","ONCEPERWEEK","EVERYDAY","YES",5,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",9,75,5,1,2410,1,1,1,"highland"
"373","ZMM","D9N","F","MESTIZO",28,33.7837837837838,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","DONTKNOW",11,"DONTKNOW","AGREE","AGREE","AGREE",8,67,0,2,11810,2,2,2,"highland"
